,Ticket Number,Violation Date,Violation Time,Issuing Agency,Respondent Last Name,Respondent First Name,Balance Due,Violation Location (Borough),Violation Location (Block No.),Violation Location (Lot No.),Violation Location (House #),Violation Location (Street Name),Violation Location (Floor),Violation Location (City),Violation Location (Zip Code),Violation Location (State Name),Respondent Address (Borough),Respondent Address (House #),Respondent Address (Street Name),Respondent Address (City),Respondent Address (Zip Code),Respondent Address (State Name),Hearing Status,Hearing Result,Scheduled Hearing Location,Hearing Date,Hearing Time,Decision Location (Borough),Decision Date,Total Violation Amount,Violation Details,Date Judgment Docketed,Respondent Address or Facility Number(For FDNY and DOB Tickets),Penalty Imposed,Paid Amount,Additional Penalties or Late Fees,Compliance Status,Violation Description,Charge #1: Code,Charge #1: Code Section,Charge #1: Code Description,Charge #1: Infraction Amount,Charge #2: Code,Charge #2: Code Section,Charge #2: Code Description,Charge #2: Infraction Amount,Charge #3: Code,Charge #3: Code Section,Charge #3: Code Description,Charge #3: Infraction Amount,Charge #4: Code,Charge #4: Code Section,Charge #4: Code Description,Charge #4: Infraction Amount,Charge #5: Code,Charge #5: Code Section,Charge #5: Code Description,Charge #5: Infraction Amount,Charge #6: Code,Charge #6: Code Section,Charge #6: Code Description,Charge #6: Infraction Amount,Charge #7: Code,Charge #7: Code Section,Charge #7: Code Description,Charge #7: Infraction Amount,Charge #8: Code,Charge #8: Code Section,Charge #8: Code Description,Charge #8: Infraction Amount,Charge #9: Code,Charge #9: Code Section,Charge #9: Code Description,Charge #9: Infraction Amount,Charge #10: Code,Charge #10: Code Section,Charge #10: Code Description,Charge #10: Infraction Amount,BBL
401,037000467Y,09/21/2015,03:00:00,DEPT. OF BUILDINGS,18 15 215 ST OWNRS CORP,,$0.00,4,05938,0007,215-25,23 AVENUE,,QN,11360.0,NEW YORK,QUEENS,42-25,21 STREET,QN,11101.0,NEW YORK,HEARING COMPLETED,DISMISSED,QUEENS,04/26/2016,08:30:00,QUEENS,04/28/2016,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4059380007
402,037000468X,09/21/2015,03:10:00,DEPT. OF BUILDINGS,18-15 215 ST OWNRS CORP,,$0.00,4,05938,0007,215-29,23 AVENUE,,QN,11360.0,NEW YORK,QUEENS,42-25,21 STREET,QN,11101.0,NEW YORK,HEARING COMPLETED,DISMISSED,QUEENS,04/26/2016,08:30:00,QUEENS,04/28/2016,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4059380007
403,037000118X,09/21/2015,02:00:00,DEPT. OF BUILDINGS,FIFTH AVE 60TH CORP,,$0.00,1,01374,0069,784,5 AVENUE,,MH,10022.0,NEW YORK,MANHATTAN,4,PARK AVENUE,NEW YORK,10016.0,NEW YORK,PAID IN FULL,IN VIOLATION,MANHATTAN,02/11/2016,09:00:00,MANHATTAN,02/11/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE.,,,$800.00,$800.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013740069
404,037000093Z,09/21/2015,05:50:00,DEPT. OF BUILDINGS,ROYALTON 44 HOTEL LLC,,$0.00,1,01259,0011,44,WEST 44 STREET,,NY,10036.0,NEW YORK,NOT NYC,545,EAST JOHN CARPENTER,IRVING,75062.0,TEXAS,PAID IN FULL,IN VIOLATION,MANHATTAN,02/04/2016,09:00:00,MANHATTAN,02/04/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY:COMPLY W CODE,,,$400.00,$400.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012590011
405,037000465K,09/21/2015,02:20:00,DEPT. OF BUILDINGS,18 15 215 ST OWNRS CORP,,$0.00,4,05938,0007,18-39,215 STREET,,QN,11360.0,NEW YORK,QUEENS,42-25,21 STREET,QN,11101.0,NEW YORK,HEARING COMPLETED,DISMISSED,QUEENS,04/26/2016,08:30:00,QUEENS,04/28/2016,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4059380007
406,037000177X,09/21/2015,06:40:00,DEPT. OF BUILDINGS,201 EAST 69 LLC,,$0.00,1,01424,0004,203,EAST 69 STREET,,MANHATTAN,10021.0,NEW YORK,MANHATTAN,387,PARK AVENUE SOUTH,NEW YORK,10016.0,NEW YORK,PAID IN FULL,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,02/29/2016,,$4000.00,$801.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014240004
407,037000469H,09/21/2015,02:50:00,DEPT. OF BUILDINGS,18 15 215 ST OWNRS CORP,,$0.00,4,05938,0007,215-19,23 AVENUE,,QN,11360.0,NEW YORK,QUEENS,42-25,21 STREET,QN,11101.0,NEW YORK,HEARING COMPLETED,DISMISSED,QUEENS,04/26/2016,08:30:00,QUEENS,04/28/2016,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4059380007
408,037000127H,09/21/2015,09:25:00,DEPT. OF BUILDINGS,650 PARK AVE CORP,,$7.00,1,01381,0038,646,PARK AVENUE,,NEW YORK,10065.0,NEW YORK,MANHATTAN,201,EAST 42 STREET,NEW YORK,10017.0,NEW YORK,DOCKETED,IN VIOLATION,MANHATTAN,02/18/2016,08:30:00,MANHATTAN,02/18/2016,$800.00,28.317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,05/31/2016,,$800.00,$800.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013810038
409,037000216J,09/21/2015,08:15:00,DEPT. OF BUILDINGS,"GAIA 416 WEST 52ND STREET,LLC",,$0.00,1,01061,0023,416,WEST 52 STREET,,MANHATTAN,10019.0,NEW YORK,MANHATTAN,416,WEST 52 STREET,NEW YORK,10019.0,NEW YORK,PAID IN FULL,STIPULATED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$400.00,$400.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010610023
410,037000483Y,09/21/2015,01:45:00,DEPT. OF BUILDINGS,FOUNTAIN CLOVE RD APTS INC,,$800.00,5,00327,0060,1100,CLOVE ROAD,,SI,10301.0,NEW YORK,STATEN IS,1100,CLOVE ROAD,SI,10301.0,NEW YORK,DOCKETED,IN VIOLATION,STATEN IS,01/13/2016,08:30:00,STATEN IS,01/29/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,04/30/2016,,$800.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5003270060
411,037000200P,09/21/2015,02:15:00,DEPT. OF BUILDINGS,22 LITTLE WEST 12TH STREET LLC,,$4000.00,1,00644,0043,28,LITTLE WEST 12 STREET,,MANHATTAN,10014.0,NEW YORK,MANHATTAN,544,HUDSON STREET,NEW YORK,10014.0,NEW YORK,DOCKETED,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,02/29/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006440043
412,037000342K,09/21/2015,07:00:00,DEPT. OF BUILDINGS,MORNINGSIDE ACQUISITION II LLC,,$0.00,2,04329,0001,1000,PELHAM PARKWAY,,BX,10461.0,NEW YORK,NOT NYC,225,CROSSWAYS PARK DR,WOODBURY,11797.0,NEW YORK,PAID IN FULL,IN VIOLATION,BRONX,11/20/2015,10:30:00,BRONX,11/27/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$800.00,$800.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043290001
413,037000257X,09/21/2015,03:55:00,DEPT. OF BUILDINGS,330 WEST 34TH SPE LLC,,$0.00,1,00757,0054,348,WEST 34 STREET,,MANHATTAN,10001.0,NEW YORK,NOT NYC,210,ROUTE 4 EAST,PARAMUS,7652.0,NEW JERSEY,PAID IN FULL,STIPULATED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$400.00,$400.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007570054
414,037000143H,09/21/2015,03:35:00,DEPT. OF BUILDINGS,SMITHSONIAN INST WASH DC,,$0.00,1,01502,0001,2,EAST 91 STREET,,NY,10128.0,NEW YORK,MANHATTAN,1095,5 AVENUE,NEW YORK,10128.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,03/24/2016,09:00:00,MANHATTAN,03/24/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015020001
415,037000359R,09/21/2015,11:20:00,DEPT. OF BUILDINGS,VAN BLARCOM CLOSURES INC,,$4000.00,3,01752,0011,153,WALWORTH STREET,,BKLYN,11205.0,NEW YORK,BROOKLYN,156,SANDFORD STREET,BKLYN,11205.0,NEW YORK,DOCKETED,DEFAULTED,BROOKLYN,03/21/2016,10:30:00,,03/28/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,06/30/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3017520011
416,037000290H,09/21/2015,02:30:00,DEPT. OF BUILDINGS,OWNER OF 2293 3 AVE,,$800.00,1,01789,7501,2293,3 AVENUE,,MH,10035.0,NEW YORK,MANHATTAN,2293,3 AVENUE,NY,10035.0,NEW YORK,DOCKETED,IN VIOLATION,MANHATTAN,11/03/2016,08:30:00,MANHATTAN,11/03/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,02/28/2017,,$800.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017897501
417,037000260R,09/21/2015,09:45:00,DEPT. OF BUILDINGS,413 WEST 14 ASSOCS,,$0.00,1,00712,0014,429,WEST 14 STREET,,MANHATTAN,10014.0,NEW YORK,MANHATTAN,421,WEST 13 STREET,NEW YORK,10014.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,03/31/2016,08:30:00,MANHATTAN,03/31/2016,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007120014
418,037000153L,09/21/2015,12:35:00,DEPT. OF BUILDINGS,COAST TO COAST ASSISTED LIVING,,$0.00,1,01559,0031,430,EAST 80 STREET,,MANHATTAN,10075.0,NEW YORK,MANHATTAN,430,EAST 80 STREET,NEW YORK,10075.0,NEW YORK,PAID IN FULL,IN VIOLATION,MANHATTAN,03/31/2016,08:30:00,MANHATTAN,03/31/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$400.00,$400.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015590031
419,037000289K,09/21/2015,05:10:00,DEPT. OF BUILDINGS,OWNER OF 620 WEST 42 STREET,,$0.00,1,01089,7502,620,WEST 42 STREET,,NEW YORK,10036.0,NEW YORK,MANHATTAN,533,11 AVENUE,NEW YORK,10036.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,01/19/2017,08:30:00,MANHATTAN,01/20/2017,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010897502
420,037000405Z,09/21/2015,11:12:00,DEPT. OF BUILDINGS,MAIMONIDES HOSP OF BK,,$0.00,3,05632,0001,4801,10 AVENUE,,BROOKLYN,11219.0,NEW YORK,BROOKLYN,950,49 STREET,BROOKLYN,11219.0,NEW YORK,PAID IN FULL,IN VIOLATION,BROOKLYN,02/08/2016,10:30:00,BROOKLYN,02/16/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$800.00,$800.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3056320001
421,037000152J,09/21/2015,05:40:00,DEPT. OF BUILDINGS,CHARTWELL HOUSE CONDOMINIUM,,$400.00,1,01554,7501,1760,2 AVENUE,,NY,10128.0,NEW YORK,NOT NYC,1981,MARCUS AVENUE,NEW HYDE PARK,11042.0,NEW YORK,DOCKETED,STIPULATED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,05/31/2016,,$800.00,$400.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015547501
422,037000358P,09/21/2015,01:30:00,DEPT. OF BUILDINGS,TZIVOS HASHEM INC,,$4000.00,3,01272,0006,792,EASTERN PARKWAY,,BKLYN,11213.0,NEW YORK,BROOKLYN,792,EASTERN PARKWAY,BKLYN,11213.0,NEW YORK,DOCKETED,DEFAULTED,BROOKLYN,06/13/2016,09:00:00,,06/20/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,09/30/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3012720006
423,037000363J,09/21/2015,09:30:00,DEPT. OF BUILDINGS,THE GREENPOINT SAVINGS BANK,,$3200.00,3,02596,0012,805,MANHATTAN AVENUE,,BKLYN,11222.0,NEW YORK,BROOKLYN,807,MANHATTAN AVENUE,BKLYN,11222.0,NEW YORK,DOCKETED,DEFAULTED,BROOKLYN,02/08/2016,10:30:00,,02/16/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,05/31/2016,,$4000.00,$800.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3025960012
424,037000344Y,09/21/2015,02:15:00,DEPT. OF BUILDINGS,MUSS MUSS,,$0.00,3,00140,7501,350,JAY STREET,,BKLYN,11201.0,NEW YORK,QUEENS,118-35,QUEENS BOULEVARD,FOREST HILLS,11375.0,NEW YORK,PAID IN FULL,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,11/09/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,05/31/2016,,$800.00,$800.00,$-16.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001407501
425,037000272Y,09/21/2015,08:45:00,DEPT. OF BUILDINGS,IP MORTGAGE BORROWER LLC,,$0.00,1,00142,0025,328,GREENWICH STREET,,NY,10013.0,NEW YORK,MANHATTAN,40,HARRISON STREET,NY,10013.0,NEW YORK,PAID IN FULL,ADMIT IN-VIO,MANHATTAN,06/02/2016,08:30:00,MANHATTAN,06/07/2016,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$830.00,$830.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001420025
426,037000035K,09/21/2015,11:45:00,DEPT. OF BUILDINGS,MARK TWAIN OWNERS CORP,,$0.00,1,00607,0038,475,AVENUE OF THE AMERICAS,,NY,10011.0,NEW YORK,NOT NYC,2,PARAGON DR,MONTVALE,7645.0,NEW JERSEY,PAID IN FULL,IN VIOLATION,MANHATTAN,01/29/2016,08:30:00,MANHATTAN,02/03/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$400.00,$400.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006070038
427,037000046X,09/21/2015,02:50:00,DEPT. OF BUILDINGS,HARDWELL ACQUISITION LLC,,$400.00,1,00779,0039,350,7 AVENUE,,MH,10001.0,NEW YORK,MANHATTAN,150,WEST 30 STREET,NY,10001.0,NEW YORK,DOCKETED,STIPULATED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,05/31/2016,,$800.00,$400.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007790039
428,037000215H,09/21/2015,08:00:00,DEPT. OF BUILDINGS,"GAIA 416 WEST 52ND STREET,LLC",,$0.00,1,01061,0023,415,WEST 51 STREET,,MANHATTAN,10019.0,NEW YORK,MANHATTAN,416,WEST 52 STREET,NEW YORK,10019.0,NEW YORK,PAID IN FULL,STIPULATED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,05/31/2016,,$800.00,$800.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010610023
429,037000030L,09/21/2015,06:10:00,DEPT. OF BUILDINGS,WEST THIRD ST APARTMENT CORP,,$0.00,1,00537,7501,64,WEST 3 STREET,,MANHATTAN,10012.0,NEW YORK,MANHATTAN,1995,BROADWAY,NEW YORK,10023.0,NEW YORK,PAID IN FULL,IN VIOLATION,MANHATTAN,03/24/2016,10:30:00,MANHATTAN,03/24/2016,$800.00,FAILURE TO REGISTER COOLING TOWER; REMEDY: COMPLY W CODE,,,$400.00,$400.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005377501
430,035174105Y,02/17/2016,12:35:00,DEPT. OF BUILDINGS,PARK SOUTH TENANTS CORP,,$0.00,1,01030,0029,200,WEST 59 STREET,,NY,10019.0,NEW YORK,MANHATTAN,770,LEXINGTON AVENUE,NY,10065.0,NEW YORK,PAID IN FULL,IN VIOLATION,MANHATTAN,04/07/2016,10:30:00,MANHATTAN,04/07/2016,$500.00,"FAILURE TO MAINTAIN EXTERIOR BLDG FACADE. NOTE: OBSERVED,VERTICALCRACK LOOSE MORTAR JOINT AT MAIN ROOF COOLING TOWER MASONRY ACADE. IIWEST ELEVATION,EXP 4 COURTYARD SIDE LOOSE MORTAR JOINT IN MASONRY",,,$250.00,$250.00,$0.00,All Terms Met,,B204,AC 28-302.1,FAILURE TO MAINTAIN BUILDING WALL S OR APPURTENANCES,$500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010300029
431,037000437N,09/21/2015,05:10:00,DEPT. OF BUILDINGS,JACKSON HURST PARTNERS LLC,,$400.00,4,01475,0027,87-13,ROOSEVELT AVENUE,,QNS,11372.0,NEW YORK,QUEENS,253-11,80 AVENUE,GLEN OAKS,11004.0,NEW YORK,DOCKETED,STIPULATED,QUEENS,11/17/2015,10:30:00,BROOKLYN,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,06/30/2016,,$800.00,$400.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014750027
432,037000031N,09/21/2015,00:00:00,DEPT. OF BUILDINGS,BLEEKER FISH LLC,,$0.00,1,00539,0037,159,BLEECKER STREET,,NY,10012.0,NEW YORK,QUEENS,99-06,METROPOLITAN AVENUE,QN,11375.0,NEW YORK,PAID IN FULL,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,02/29/2016,,$4000.00,$4067.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005390037
433,037000086K,09/21/2015,08:30:00,DEPT. OF BUILDINGS,OWNER OF 35 WEST 72 STREET,,$0.00,1,01125,0009,35,WEST 72 STREET,,MANHATTAN,10023.0,NEW YORK,MANHATTAN,1881,BROADWAY,NEW YORK,10023.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,05/26/2016,08:30:00,MANHATTAN,05/26/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011250009
434,037000253Z,09/21/2015,01:00:00,DEPT. OF BUILDINGS,MORNINGSIDE HGRS HOUSING CORP,,$0.00,1,01978,0001,1304,AMSTERDAM AVENUE,,MH,10027.0,NEW YORK,MANHATTAN,90,LA SALLE STREET,NY,10027.0,NEW YORK,PAID IN FULL,IN VIOLATION,MANHATTAN,07/14/2016,08:30:00,MANHATTAN,07/18/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,10/31/2016,,$800.00,$800.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019780001
435,037000380L,09/21/2015,02:52:00,DEPT. OF BUILDINGS,EXTRA SPACE OF BROOKLYN 14TH S,,$0.00,3,06733,0035,1262,EAST 14 STREET,,BK,11230.0,NEW YORK,NOT NYC,,PO BOX 320099,ALEXANDRIA,22320.0,VIRGINIA,PAID IN FULL,IN VIOLATION,BROOKLYN,05/16/2016,10:30:00,BROOKLYN,05/19/2016,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$800.00,$800.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3067330035
436,037000305L,09/21/2015,03:15:00,DEPT. OF BUILDINGS,RIVERBAY CORPORATION,,$0.00,2,05135,0051,4180,HUTCHINSON RIVER PARKWAY,,BX,10475.0,NEW YORK,BRONX,120,ERSKINE PLACE,BX,10475.0,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,06/10/2016,08:30:00,BRONX,06/28/2016,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051350051
437,037000310X,09/21/2015,01:30:00,DEPT. OF BUILDINGS,RIVERBAY CORP,,$0.00,2,05141,0120,900,CO-OP CITY BOULEVARD,,BX,10475.0,NEW YORK,BRONX,2049,BARTOW AVENUE,BX,10475.0,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,06/10/2016,08:30:00,BRONX,06/28/2016,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051410120
